manufacturer,motorbike,type,seatheight,height,length,width,wheelbase,weight,displacement
Suzuki,SV 650,Naked Bike,78.5,109,214,76,144.5,200,645
Suzuki,V-Strom 250,Naked Bike,80,129.5,215,79,142.5,188,248
Triumph,Bonneville Bopper,Chopper,69,102.4,222,80,150,251,1200
Triumph,Rocket 3 GT,Naked Bike,75,116.5,250,97,169.5,294,2458
Triumph,Street Scrambler,Naked Bike,79,118,212.5,83.5,144.5,223,900
Triumph,Street Triple 765 RS,Naked Bike,82.5,108.5,,77.5,140.5,187,765
Triumph,Street Twin,Naked Bike,76.5,111,209.5,78,145,216,900
Triumph,Thruxton R,Naked Bike,80.5,103,210.5,74.5,141.5,203,1200
Triumph,Tiger 800 XRX,Touring,81,135,221.5,86.5,153,200,799
United Motors,UM Renegade Commando 125,Chopper,77,,229,80,153,153,125
Yamaha,FJR 1300 AE Ultimate Edition,Touring,80.2,145,223,75,154.5,292,1298
Yamaha,MT-09,Naked Bike,82.5,119,209,795,143,189,889
Yamaha,MT-10,Naked Bike,82.5,111,209.5,80,140,210,998
Yamaha,Ténéré 700,Enduro,88,145.5,236.5,91.5,159,204,689
Yamaha,Tracer 700,Naked Bike,83.5,127,213.8,80.6,140.4,196,689
Yamaha,Tracer 900,Naked Bike,84.5,134.5,216,95,144,210,847
Yamaha,XSR 700,Naked Bike,81.5,113,207.5,82,140.5,186,689
Yamaha,YZF-R125,Naked Bike,82.5,106.5,195.5,68,135.5,142,124.7
